District Name	As per 2011 census	Estimated Population in 2023	2019
0	Adilabad	708972	768667	748769
1	Bhadradri Kothagudem	1069261	1159293	1129283
2	Hyderabad	3943323	4275351	4164675
3	Jagitial	985417	1068389	1040732
4	Jangaon	566376	614065	598169
5	Jayashankar Bhupalpally	416763	451854	440157
6	Jogulamba Gadwal	609990	661351	644231
7	Kamareddy	972625	1054520	1027222
8	Karimnagar	1005711	1090392	1062165
9	Khammam	1401639	1519657	1480318
10	Komaram Bheem	515812	559243	544766
11	Mahabubabad	774549	839766	818027
12	Mahabubnagar	919903	997359	971541
13	Mancherial	807037	874990	852339
14	Medak	767428	832045	810506
15	Medchalâ€“Malkajgiri	2440073	2645527	2577043
16	Mulugu	257744	279446	272212
17	Nagarkurnool	893308	968525	943453
18	Nalgonda	1618416	1754687	1709264
19	Narayanpet	566874	614605	598695
20	Nirmal	709418	769151	749240
21	Nizamabad	1571022	1703302	1659209
22	Peddapalli	795332	862299	839977
23	Rajanna Sircilla	552037	598519	583025
24	Ranga Reddy	2446265	2652241	2583583
25	Sangareddy	1527628	1656254	1613379
26	Siddipet	1012065	1097281	1068876
27	Suryapet	1099560	1192143	1161282
28	Vikarabad	927140	1005205	979184
29	Wanaparthy	577758	626405	610190
30	Warangal Rural	718537	779038	758871
31	Warangal Urban	1080858	1171866	1141530
32	Yadadri Bhuvanagiri	739448	801710	780956